id,date published,source,headline,author,description,directory,link
Michael Brown,12/21/14,WSJ,New York’s Mayor Faces Fresh Test in Ambush Deaths,Michael Howard Saul and Josh Dawsey,The ambush killings of two New York City police officers on Saturday poses a new challenge for a mayor whose support of recent protests has drawn some criticism.,,http://online.wsj.com/articles/new-york-shootings-come-at-difficult-moment-for-mayor-police-department-1419143131?mod=Searchresults_pos4&page=9
Michael Brown,12/1/14,WSJ,Ferguson Community Makes Moves to Begin Healing Process,Matthew Dolan,Police on Monday morning reported no overnight arrests in this city as a result of ongoing protests over a police-involved fatal shooting of an unarmed black teenager almost four months ago.,,http://online.wsj.com/articles/no-overnight-arrests-in-ferguson-police-say-1417449575?mod=Searchresults_pos5&page=9
Michael Brown,12/7/14,WSJ,Protest Movement Spreads,Jacob Gershman,"As protests against police violence spread nationwide, President Obama and New York City’s mayor said the anger sparked by a pair of controversial grand-jury decisions underscored the need for a broader national conversation about race relations and civil rights.",,http://online.wsj.com/articles/protest-movement-spreads-1418000676?mod=Searchresults_pos6&page=9
Michael Brown,11/23/14,WSJ,An Officer Calms Ferguson’s Streets,Ben Kesling,"A fourth straight night of street-blocking civil disobedience Saturday was punctuated by arrests, but was less confrontational thanks, in part, to a police commander using calmer tactics with protesters.",,http://online.wsj.com/articles/as-fergusons-streets-tensely-await-decision-an-officer-brings-calm-1416761970?mod=Searchresults_pos7&page=9
Michael Brown,12/24/14,WSJ,NYPD Arrests 4 After Threats to Officers,Pervaiz Shallwani,"Since the shooting deaths of two police officers Saturday afternoon, the NYPD has launched 40 investigations into possible threats",,http://online.wsj.com/articles/nypd-arrests-4-people-after-threats-to-officers-1419445797?mod=Searchresults_pos8&page=9
Michael Brown,12/8/14,WSJ,Cleveland Family Calls for Charges  in Boy’s Shooting,Matthew Dolan,The mother of a 12-year-old boy who was shot dead by police while carrying a toy gun in a Cleveland park in November called on Monday for criminal charges against the officer involved.,,http://online.wsj.com/articles/cleveland-family-calls-for-conviction-of-officer-involved-in-boys-fatal-shooting-1418071080?mod=Searchresults_pos9&page=9
Michael Brown,11/23/14,WSJ,Ferguson Grand Jury Set to Reconvene,Ben Kesling,"Nightly protests continued here through the weekend as residents, police and demonstrators brace for a decision from a grand jury set to reconvene Monday.",,http://online.wsj.com/articles/ferguson-grand-jury-set-to-reconvene-1416777914?mod=Searchresults_pos10&page=9
Michael Brown,12/4/14,WSJ,Leaders Pledge Police Changes in Light of Garner Case,Andrew Tangel,"New York political leaders vowed to pursue changes and civil-rights leaders announced a protest march in Washington, D.C., a day after a grand jury declined to indict a police officer in the death of Eric Garner.",,http://online.wsj.com/articles/mayor-bill-de-blasio-promises-overhaul-at-nypd-after-eric-garner-case-1417704263?mod=Searchresults_pos11&page=9
Michael Brown,6/20/15,WSJ,Charleston Mayor Rallies City After Fatal Shootings,Mara Gay And Josh Dawsey,"The deadly shooting at the Emanuel African Methodist Episcopal Church has trained a spotlight on longtime Charleston Mayor Joseph Riley, a soft-spoken liberal Democrat who has been in office since 1975.",,http://www.wsj.com/articles/charleston-mayor-rallies-city-after-fatal-shootings-1434836329?mod=Searchresults_pos12&page=9
Michael Brown,12/22/14,WSJ,"NYC Mayor, Police Unions Postpone Debate",Michael Howard Saul And Pervaiz Shallwani,New York City Mayor Bill de Blasio and the city’s largest police union have vowed to put aside their strife until after two officers fatally shot last weekend were laid to rest.,,http://online.wsj.com/articles/de-blasio-political-debate-can-wait-until-after-funerals-of-slain-nypd-officers-1419276483?mod=Searchresults_pos13&page=9
Michael Brown,4/11/15,WSJ,Hundreds Mourn Man Shot by Police Officer,Valerie Bauerlein,Mourners at Walter Scott’s funeral remembered him as a loving father and friend whose fatal shooting by a white police officer should be a catalyst for national change.,,http://www.wsj.com/articles/hundreds-mourn-south-carolina-police-shooting-victim-walter-scott-1428772099?mod=Searchresults_pos14&page=9
Michael Brown,12/21/14,WSJ,"Tompkins Houses, Near Attack on Police, Had Felt Safer",Jennifer Smith,"Crime has long been a problem near the Tompkins Houses, the Brooklyn public-housing development across the street from where two officers were killed on Saturday.",,http://online.wsj.com/articles/tompkins-houses-have-uneasy-ties-with-police-1419213800?mod=Searchresults_pos15&page=9
Michael Brown,11/25/14,WSJ,How It Felt to Be a ‘Suspicious’ Black Teen,Gary Fields,Ferguson reminds a Journal reporter of times in his youth when he was singled out by police.,,http://online.wsj.com/articles/what-it-felt-like-to-be-a-suspicious-black-teenager-1416956319?mod=Searchresults_pos16&page=9
Michael Brown,1/5/15,WSJ,Ferguson Grand Juror Sues Over Lifetime Gag Order,Ben Kesling,"A grand juror in the case of the police-involved shooting in Ferguson, Mo., filed suit to break a gag rule protecting the secrecy of the controversial proceedings.",,http://online.wsj.com/articles/member-of-ferguson-grand-jury-sues-over-lifetime-gag-order-1420476883?mod=Searchresults_pos17&page=9
Michael Brown,12/6/14,WSJ,NYPD Orchestrates Protest Moves,Pervaiz Shallwani  And Thomas MacMillan,"New York City’s approach to protests in response to a grand jury decision in not to the indict a white police officer in the chokehold death of a black man is starkly different than the approach in Ferguson, Mo.",,http://online.wsj.com/articles/nypd-orchestrates-moves-in-eric-garner-death-protests-1417831225?mod=Searchresults_pos18&page=9
Michael Brown,2/11/15,WSJ,‘Between Riverside and Crazy’ Opens This Week,Stefanie Cohen,"Stephen Adly Guirgis’s play, ‘Between Riverside and Crazy,’ tells the story of a white cop who shoots an older black cop, echoing recent events in Ferguson, Mo., and New York.",,http://www.wsj.com/articles/between-riverside-and-crazy-opens-this-week-1423674598?mod=Searchresults_pos19&page=9
Michael Brown,12/22/14,WSJ,Police Monitor Social Media for Threats,Ashby Jones  and Joe Palazzolo,"Police departments have little legal recourse against people who threaten violence against their officers, but they are aggressively monitoring social media in hopes of identifying dangers and thwarting violence.",,http://online.wsj.com/articles/police-seek-clues-in-social-media-1419301133?mod=Searchresults_pos20&page=9
Michael Brown,2/11/15,WSJ,‘Between Riverside and Crazy’ Opens This Week,Stefanie Cohen,"Stephen Adly Guirgis’s play, ‘Between Riverside and Crazy,’ tells the story of a white cop who shoots an older black cop, echoing recent events in Ferguson, Mo., and New York.",,http://www.wsj.com/articles/between-riverside-and-crazy-opens-this-week-1423674598?mod=Searchresults_pos1&page=10
Michael Brown,12/26/14,WSJ,Thousands Gather to Honor Slain NYPD Officer,Leslie Brody,"Thousands of mourners gathered Friday at a Queens church to pay their respects to a slain New York City police officer, a day before his funeral was expected to draw thousands of police from across the country.",,http://online.wsj.com/articles/funeral-for-slain-nypd-officer-to-be-held-friday-1419613090?mod=Searchresults_pos2&page=10
Michael Brown,12/25/14,WSJ,"Pilgrimage, Prayer for Slain Officers","Michael Howard Saul, Sonja Sharp and Pervaiz Shallwani","Across the city, the festive bustle of Christmas Day was tempered by the sorrowful memory of the fatal shootings of two New York City police officers.",,http://online.wsj.com/articles/pilgrimage-prayer-for-two-slain-new-york-city-police-officers-1419559021?mod=Searchresults_pos3&page=10
Michael Brown,12/11/14,WSJ,Push for Transparency on Police Killings Gathers Pace,Rob Barry,Lawmakers clear legislation that would give states and federal law-enforcement agencies strong incentives to report deaths in custody and during arrests.,,http://online.wsj.com/articles/push-for-greater-transparency-on-police-killings-gathers-pace-1418327289?mod=Searchresults_pos4&page=10
Michael Brown,11/16/14,WSJ,Protesters Plan Response to Ferguson Decision,Ben Kesling,"As both sides wait for a decision on whether a grand jury will indict the white Ferguson police officer who killed a black teenager in August, protesters stood in the falling snow Sunday, waiting to step off on a well-organized march.",,http://online.wsj.com/articles/in-st-louis-protesters-plan-an-orderly-response-to-indictment-news-1416178350?mod=Searchresults_pos5&page=10
Michael Brown,3/19/15,WSJ,"Grand Jury Records in Garner Case Will Stay Sealed, Judge Rules",Michael Howard Saul  and Pervaiz Shallwani,A state Supreme Court justice has rejected requests to release the minutes of the Staten Island grand jury that declined to indict the New York City police officer involved in the Eric Garner case.,,http://www.wsj.com/articles/grand-jury-records-in-garner-case-will-stay-sealed-judge-rules-1426814841?mod=Searchresults_pos7&page=10
Michael Brown,12/22/14,WSJ,"Gunman Acted Alone, New York City Police Say",Rebecca Davis O’Brien and Michael Howard Saul,"Ismaaiyl Brinsley, the alleged killer of two police officers was apparently motivated by antigovernment and anti-police sentiment. New York City Mayor Bill de Blasio asked New Yorkers to put aside politics and unify behind the families of the dead officers.",,http://online.wsj.com/articles/new-york-city-police-commissioner-says-killings-of-officers-a-spin-off-of-demonstrations-1419272144?mod=Searchresults_pos8&page=10
Michael Brown,12/10/14,WSJ,Bay Area Protests Are Latest in Long Tradition,Alejandro Lazo and Zusha Elinson,Demonstrations in cities of Oakland and Berkeley reflect the region’s history of social activism and militant street action.,,http://online.wsj.com/articles/bay-area-protests-over-police-killings-are-latest-in-long-tradition-1418163477?mod=Searchresults_pos10&page=10
Michael Brown,12/28/14,WSJ,Web Store Unloads Old Items Offline,Ellen Emmerentze Jervell,"For Europe’s largest online retailer, Zalando, the end of the holiday shopping rush opens a new sales window in the real world.",,http://online.wsj.com/articles/web-store-unloads-old-items-offline-1419811896?mod=Searchresults_pos12&page=10
Michael Brown,12/4/14,WSJ,Social Media Help Fuel Protests Around the Country,Jennifer Smith and Andrew Tangel,Demonstrators mixed with tourists and commuters at famous sites here as they protested a grand jury’s decision not to indict a white New York City police officer in the death of a black man.,,http://online.wsj.com/articles/social-media-help-fuel-protests-after-new-york-officer-not-indicted-over-death-of-eric-garner-1417662999?mod=Searchresults_pos13&page=10
Michael Brown,3/1/15,WSJ,Report Calls for More Police Body Cameras,Gary Fields and Colleen McCain Nelson,"A presidential task force on policing calls for increased use of body cameras and other technology, and expanded efforts to connect officers with neighborhoods.",,http://www.wsj.com/articles/task-force-report-calls-for-more-body-cameras-1425257551?mod=Searchresults_pos14&page=10
Michael Brown,11/29/14,WSJ,Protesters Fan Out as Missouri Gov. Calls For New Security Funds,Matthew Dolan,"Nearly 100 locations from utility substations to sports stadiums are under watch this weekend by the Missouri National Guard and state Highway Patrol, Gov. Jay Nixon wrote in a Saturday letter to lawmakers.",,http://online.wsj.com/articles/ferguson-protests-spark-more-than-dozen-arrests-1417240877?mod=Searchresults_pos15&page=10
Michael Brown,12/1/14,WSJ,Obama Seeks New Policing Standards Post-Ferguson,Colleen McCain Nelson and Byron Tau,"President Barack Obama called for new standards for federal programs that equip local police departments with military gear, which had drawn criticism amid the police response to protests in Ferguson, Mo.",,http://online.wsj.com/articles/obama-to-focus-on-ferguson-protests-in-monday-meetings-1417446423?mod=Searchresults_pos16&page=10
Michael Brown,12/4/14,WSJ,Low-Wage Workers Protest Over Pay,Melanie Trottman,"Low-wage workers from increasingly varied workplaces are staging strikes and protests in 35 states and 190 cities on Thursday, demanding higher minimum wages.",,http://online.wsj.com/articles/low-wage-workers-stage-strikes-and-protests-over-pay-1417713773?mod=Searchresults_pos17&page=10
Michael Brown,5/24/15,WSJ,Cleveland Officer’s Acquittal in Two Deaths Sets Off Protests,Associated Press,"A white Cleveland officer who fired down on a car at the end of a 137-shot barrage that left the two unarmed black occupants dead was acquitted of criminal charges, setting off angry but mostly orderly protests.",,http://www.wsj.com/articles/cleveland-officer-acquitted-in-two-shooting-deaths-1432393984?mod=Searchresults_pos18&page=10
Michael Brown,12/27/14,WSJ,A Sea of Blue Salutes Fallen Police Officer,Michael Howard Saul,"Thousands of police officers from around the country gathered in Queens for the funeral service of Rafael Ramos, one of the two New York City police officers killed in an ambush last weekend.",,http://online.wsj.com/articles/fallen-nypd-officer-receives-inspectors-funeral-1419692781?mod=Searchresults_pos19&page=10
Michael Brown,12/24/14,WSJ,Missouri Shooting Sparks Protests,Ben Kesling and Joe Barrett,"The police-involved shooting death of an allegedly armed black man in a St. Louis suburb led to small protests and four arrests overnight, according to police.",,http://online.wsj.com/articles/missouri-police-officer-shoots-dead-man-who-pulled-gun-1419412121?mod=Searchresults_pos20&page=10
Michael Brown,3/5/15,WSJ,Michael Brown’s Parents Announce Lawsuit,Associated Press,"Lawyers for the parents of an unarmed, black, 18-year-old who was fatally shot by a white police officer in the St. Louis suburb of Ferguson, Mo., said Thursday that they would file a civil lawsuit in Michael Brown’s death.",,http://www.wsj.com/articles/michael-browns-parents-announce-plans-for-civil-suit-in-slaying-by-ex-officer-1425578802?mod=Searchresults_pos1&page=1
Michael Brown,12/3/14,WSJ,Michael Brown’s Stepfather Apologizes for Comments,Ben Kesling,Michael Brown’s stepfather apologized on Wednesday for emotionally-charged comments he made in the minutes after a grand jury announced it wouldn’t bring criminal charges against the officer involved in Mr. Brown’s death.,,http://online.wsj.com/articles/michael-browns-stepfather-apologizes-for-comments-1417631125?mod=Searchresults_pos2&page=1
Michael Brown,11/25/14,WSJ,Grand Jury Decision Sparks Fresh Unrest in Ferguson,AUTHOR_NOT_FOUND,Missouri Gov. Jay Nixon Tuesday said he would triple the National Guard presence in the St. Louis region in the wake of widespread violence following a grand jury decision not to indict police officer Darren Wilson in the shooting death of Michael Brown.,,http://online.wsj.com/articles/grand-jury-decision-sparks-fresh-unrest-in-ferguson-1416891415?mod=Searchresults_pos3&page=1
Michael Brown,4/23/15,WSJ,Michael Brown’s Family Files Civil Lawsuit Against Ferguson,Joe Barrett,"The family of Michael Brown filed a civil lawsuit against the city of Ferguson, Mo., over the fatal shooting of the unarmed black 18-year-old.",,http://www.wsj.com/articles/michael-browns-family-files-civil-lawsuit-against-ferguson-1429804290?mod=Searchresults_pos4&page=1
Michael Brown,11/24/14,WSJ,How Ferguson Became a Symbol,AUTHOR_NOT_FOUND,"A visual chronology of events in Ferguson, Mo., from the shooting of Michael Brown by Officer Darren Wilson on Aug. 9 to the grand-jury decision on Monday.",,http://online.wsj.com/articles/how-ferguson-became-a-symbol-1416885278?mod=Searchresults_pos5&page=1
Michael Brown,11/26/14,WSJ,Marching Through the Streets,AUTHOR_NOT_FOUND,"Demonstrators across the U.S. took to the streets on Tuesday night to protest the decision of a grand jury to not indict Darren Wilson, a white police officer, for shooting unarmed black teenager Michael Brown.",,http://online.wsj.com/articles/photos-marching-through-the-streets-1416974970?mod=Searchresults_pos6&page=1
Michael Brown,11/25/14,WSJ,Darren Wilson Says He Feared for His Life,Valerie Bauerlein,Police officer Darren Wilson says in an interview with ABC he wouldn’t have done anything differently in the August shooting death of unarmed black teenager Michael Brown in the St. Louis suburb of Ferguson.,,http://online.wsj.com/articles/darren-wilson-says-he-feared-for-his-life-in-encounter-with-michael-brown-1416963966?mod=Searchresults_pos7&page=1
Michael Brown,11/29/14,WSJ,Protests Spread Across U.S. on Black Friday,AUTHOR_NOT_FOUND,"People demonstrated against the Ferguson, Mo., grand jury decision in the Michael Brown case in cities from San Francisco to New York City.",,http://online.wsj.com/articles/protests-spread-across-u-s-on-black-friday-1417284244?mod=Searchresults_pos8&page=1
Michael Brown,11/25/14,WSJ,Comparing the Michael Brown and Eric Garner Cases,Yoni Bashan,"Legal experts compare the cases of  Michael Brown in Ferguson, Mo., and Eric Garner on Staten Island.",,http://online.wsj.com/articles/comparing-the-michael-brown-and-eric-garner-cases-1416969202?mod=Searchresults_pos9&page=1
Michael Brown,4/8/15,WSJ,African-Americans Gain Council Seats in Ferguson,Ben Kesling,"Half of the members of the City Council in Ferguson, Mo., will be African-American following the city’s first election since the shooting death of Michael Brown by a police officer.",,http://www.wsj.com/articles/african-americans-gain-city-council-seats-in-ferguson-1428466874?mod=Searchresults_pos10&page=1
Michael Brown,11/18/14,WSJ,St. Louis Mayor Expects Mostly Peaceful Protests,Ben Kesling,"The city’s mayor said he expects mostly nonviolent protests in the days after a grand jury announces whether it will indict the Ferguson police officer who shot and killed Michael Brown, but he also expects police will make arrests.",,http://online.wsj.com/articles/st-louis-mayor-expects-mostly-peaceful-protests-after-grand-jury-decision-on-michael-brown-killing-1416371999?mod=Searchresults_pos11&page=1
Michael Brown,11/13/14,WSJ,Ferguson Grand Jury Deliberations Likely to Begin Soon,Ben Kesling,"The grand jury probing the fatal shooting of Michael Brown in Ferguson, Mo., heard some of its final testimony and is likely to begin deliberations soon, attorneys for Mr. Brown’s family said.",,http://online.wsj.com/articles/brown-family-urges-restraint-as-grand-jury-meets-in-missouri-1415895479?mod=Searchresults_pos12&page=1
Michael Brown,11/24/14,WSJ,Officer Not Charged in Killing,AUTHOR_NOT_FOUND,"A grand jury declined to indict police officer Darren Wilson in the shooting of unarmed 18-year-old Michael Brown, whose death touched off weeks of civil unrest that made Ferguson, Mo., a national flashpoint over race and justice.",,http://online.wsj.com/articles/officer-not-charged-in-killing-1416889002?mod=Searchresults_pos13&page=1
Michael Brown,12/2/14,WSJ,"In Ferguson, Art Replaces Arson",AUTHOR_NOT_FOUND,"A week after rioters tore through Ferguson, Mo., and other communities protesting a grand jury decision not to indict a police officer who killed 18-year-old Michael Brown in August, street artists tried to recast boarded-up storefronts in the St. Louis suburb with images of peace and racial understanding.",,http://online.wsj.com/articles/in-ferguson-art-replaces-arson-1417580511?mod=Searchresults_pos14&page=1
Michael Brown,12/9/14,WSJ,Athletes Say ‘I Can’t Breathe’,AUTHOR_NOT_FOUND,A number of professional athletes have shown their support of protests across the country following grand-jury decisions not to indict police officers in the deaths of Michael Brown and Eric Garner.,,http://online.wsj.com/articles/athletes-say-i-cant-breathe-1418092341?mod=Searchresults_pos15&page=1
Michael Brown,11/28/14,WSJ,"Ferguson Residents Help Clean Up, Join in Holiday Celebrations",Pervaiz Shallwani,"Ferguson area residents came out in a show of support Thursday to clean up debris, spruce up buildings and celebrate Thanksgiving after violence erupted in response to a grand jury’s decision in the fatal shooting of Michael Brown.",,http://online.wsj.com/articles/ferguson-tensions-cool-on-third-night-after-grand-jury-decision-1417071310?mod=Searchresults_pos16&page=1
Michael Brown,11/25/14,WSJ,"Brown Family Lawyers Criticize Prosecutor, Legal Process",Pervaiz Shallwani,Attorneys for Michael Brown’s family lashed out on Tuesday at the local prosecutor and the legal process that led a grand jury not to indict officer Darren Wilson in the shooting death of the black teen.,,http://online.wsj.com/articles/brown-family-lawyers-criticize-prosecutor-legal-process-1416951360?mod=Searchresults_pos18&page=1
Michael Brown,11/21/14,WSJ,Ferguson-Area School District Cancels Classes Next Week,Douglas Belkin,"A school district adjacent to Ferguson, Mo., has canceled classes next week in anticipation of protests that could follow the grand jury decision in the shooting death of Michael Brown.",,http://online.wsj.com/articles/ferguson-area-school-district-cancels-classes-next-week-1416601489?mod=Searchresults_pos19&page=1
Michael Brown,2/10/15,WSJ,Missouri AG Seeks to Block Ferguson Grand Juror From Speaking Out,Ben Kesling,Missouri’s attorney general filed papers Monday seeking to block a grand juror’s request to speak publicly about the decision not to indict a Ferguson police officer in the shooting death of Michael Brown.,,http://online.wsj.com/articles/missouri-ag-seeks-to-block-ferguson-grand-juror-from-speaking-publicly-1423602145?mod=Searchresults_pos20&page=1
Michael Brown,1/28/15,WSJ,Few Fireworks at Hearing of Attorney General Nominee,Andrew Grossman and Devlin Barrett,Attorney-general nominee Loretta Lynch vouched for the legality of recent Obama administration decisions on immigration at her relatively tame  confirmation hearing before lawmakers.,,http://online.wsj.com/articles/attorney-general-nominee-lynch-wants-improved-relations-with-congress-1422450009?mod=Searchresults_pos1&page=11
Michael Brown,3/8/15,WSJ,Obama Marks a Civil-Rights Turning Point,Arian Campo-Flores,"Fifty years after a civil-rights confrontation at the Edmund Pettus Bridge in Selma, Ala., President Barack Obama commemorated the marchers with a soaring speech.",,http://www.wsj.com/articles/obama-to-join-bloody-sunday-anniversary-in-selma-1425740082?mod=Searchresults_pos2&page=11
Michael Brown,12/4/14,WSJ,Low-Wage Workers Protest Over Pay,Melanie Trottman,"Low-wage workers from increasingly varied workplaces are staging strikes and protests in 35 states and 190 cities on Thursday, demanding higher minimum wages.",,http://online.wsj.com/articles/low-wage-workers-stage-strikes-and-protests-over-pay-1417713773?mod=Searchresults_pos3&page=11
Michael Brown,1/4/15,WSJ,Police Rift Grows for New York Mayor,Michael Howard Saul,"Hundreds of New York City police officers turned their backs as Mayor Bill de Blasio spoke Sunday at a funeral for slain Officer Wenjian Liu, showing the deep divisions between the mayor and the nation’s largest police force.",,http://online.wsj.com/articles/police-rift-grows-for-new-york-mayor-1420385276?mod=Searchresults_pos4&page=11
Michael Brown,11/27/14,WSJ,Ferguson Businesses Vow to Rebuild,"Pervaiz Shallwani, Ben Kesling and Caroline Porter","The St. Louis Regional Chamber estimates about 60 businesses in the Ferguson, Mo., area were looted, vandalized or burned this week after a grand jury declined to indict a white police officer in the shooting of an unarmed black teenager.",,http://online.wsj.com/articles/ferguson-businesses-face-rebuilding-effort-1417039397?mod=Searchresults_pos5&page=11
Michael Brown,5/24/15,WSJ,Cleveland Officer’s Acquittal in Two Deaths Sets Off Protests,Associated Press,"A white Cleveland officer who fired down on a car at the end of a 137-shot barrage that left the two unarmed black occupants dead was acquitted of criminal charges, setting off angry but mostly orderly protests.",,http://www.wsj.com/articles/cleveland-officer-acquitted-in-two-shooting-deaths-1432393984?mod=Searchresults_pos6&page=11
Michael Brown,12/27/14,WSJ,A Sea of Blue Salutes Fallen Police Officer,Michael Howard Saul,"Thousands of police officers from around the country gathered in Queens for the funeral service of Rafael Ramos, one of the two New York City police officers killed in an ambush last weekend.",,http://online.wsj.com/articles/fallen-nypd-officer-receives-inspectors-funeral-1419692781?mod=Searchresults_pos7&page=11
