id,date published,source,headline,author,description,directory,link
Michael Brown,11/26/14,WSJ,Ferguson Protests Continue Across the U.S.,A Wall Street Journal Roundup,"Protests resumed across the nation Tuesday, marking the second night of demonstrations following the decision by a grand jury not to indict a Ferguson, Mo., police officer in the shooting death of a black teenager.",,http://online.wsj.com/articles/protests-continue-across-the-u-s-1416974462?mod=Searchresults_pos18&page=5
Michael Brown,11/26/14,WSJ,Ferguson Protests Continue Across the U.S.,A Wall Street Journal Roundup,"Protests resumed across the nation Tuesday, marking the second night of demonstrations following the decision by a grand jury not to indict a Ferguson, Mo., police officer in the shooting death of a black teenager.",,http://online.wsj.com/articles/protests-continue-across-the-u-s-1416974462?mod=Searchresults_pos11&page=7
Michael Brown,11/25/14,WSJ,Grand Jury Transcripts Show Widely Varying Witness Testimony,A Wall Street Journal Roundup,The transcripts of the grand jury proceedings investigating police officer Darren Wilson’s actions in the shooting death of Michael Brown reveal that witnesses’ testimony varied widely on the key details of the Aug. 9 encounter.,,http://online.wsj.com/articles/ferguson-grand-jury-transcripts-show-widely-varying-witness-testimony-1416948406?mod=Searchresults_pos18&page=3
Michael Brown,11/25/14,WSJ,Grand Jury Transcripts Show Widely Varying Witness Testimony,A Wall Street Journal Roundup,The transcripts of the grand jury proceedings investigating police officer Darren Wilson’s actions in the shooting death of Michael Brown reveal that witnesses’ testimony varied widely on the key details of the Aug. 9 encounter.,,http://online.wsj.com/articles/ferguson-grand-jury-transcripts-show-widely-varying-witness-testimony-1416948406?mod=Searchresults_pos20&page=3
Michael Brown,12/23/14,WSJ,"Protesters Hit Streets Again, Defying Mayor",Adam Janos,"Hundreds of protesters took to Manhattan’s streets Tuesday evening to rally against what they say is unfair treatment by the New York Police Department, in defiance of Mayor Bill de Blasio’s call for a halt to demonstrations until two slain police officers are laid to rest.",,http://online.wsj.com/articles/protesters-hit-streets-again-defying-mayor-1419389702?mod=Searchresults_pos13&page=3
Michael Brown,12/23/14,WSJ,"Protesters Hit Streets Again, Defying Mayor",Adam Janos,"Hundreds of protesters took to Manhattan’s streets Tuesday evening to rally against what they say is unfair treatment by the New York Police Department, in defiance of Mayor Bill de Blasio’s call for a halt to demonstrations until two slain police officers are laid to rest.",,http://online.wsj.com/articles/protesters-hit-streets-again-defying-mayor-1419389702?mod=Searchresults_pos14&page=8
Michael Brown,12/5/14,WSJ,Protests Spread Across Country,Adam Janos And Thomas MacMillan,"Protests rippled across the country Thursday for a second day after a grand jury declined to indict a New York City police officer in the July death of Eric Garner, a black man who was placed in an apparent chokehold.",,http://online.wsj.com/articles/thousands-protest-across-us-after-eric-garner-grand-jury-decision-1417785011?mod=Searchresults_pos12&page=12
Michael Brown,12/5/14,WSJ,Protests Spread Across Country,Adam Janos and Thomas MacMillan,"Protests rippled across the country Thursday, a day after a grand jury declined to indict a New York City police officer in the July death of Eric Garner, a black man who was placed in an apparent chokehold.",,http://online.wsj.com/articles/protests-spread-across-country-day-after-eric-garner-grand-jury-decision-1417737644?mod=Searchresults_pos13&page=12
Michael Brown,12/5/14,WSJ,Protests Spread Across Country,Adam Janos And Thomas MacMillan,"Protests rippled across the country Thursday for a second day after a grand jury declined to indict a New York City police officer in the July death of Eric Garner, a black man who was placed in an apparent chokehold.",,http://online.wsj.com/articles/thousands-protest-across-us-after-eric-garner-grand-jury-decision-1417785011?mod=Searchresults_pos3&page=7
Michael Brown,12/5/14,WSJ,Protests Spread Across Country,Adam Janos and Thomas MacMillan,"Protests rippled across the country Thursday, a day after a grand jury declined to indict a New York City police officer in the July death of Eric Garner, a black man who was placed in an apparent chokehold.",,http://online.wsj.com/articles/protests-spread-across-country-day-after-eric-garner-grand-jury-decision-1417737644?mod=Searchresults_pos18&page=6
Michael Brown,11/28/14,WSJ,Protesters Halt BART Train Service,Alejandro Lazo,"Protesters in Oakland, Calif., wearing T-shirts reading “black lives matter” shut down train service on the Bay Area Rapid Transit system between San Francisco and the East Bay for more than an hour Friday morning.",,http://online.wsj.com/articles/protesters-shut-down-bart-train-service-1417207392?mod=Searchresults_pos11&page=3
Michael Brown,11/28/14,WSJ,Protesters Halt BART Train Service,Alejandro Lazo,"Protesters in Oakland, Calif., wearing T-shirts reading “black lives matter” shut down train service on the Bay Area Rapid Transit system between San Francisco and the East Bay for more than an hour Friday morning.",,http://online.wsj.com/articles/protesters-shut-down-bart-train-service-1417207392?mod=Searchresults_pos11&page=3
Michael Brown,12/8/14,WSJ,Violence Flares at Berkeley Protests,Alejandro Lazo And Jim Carlton,"A protest turned violent for a second straight night Sunday, resulting in at least eight arrests and an untold amount of damage to vandalized downtown businesses.",,http://online.wsj.com/articles/violence-flares-again-at-berkeley-protests-1418020244?mod=Searchresults_pos11&page=5
Michael Brown,12/8/14,WSJ,Violence Flares at Berkeley Protests,Alejandro Lazo And Jim Carlton,"A protest turned violent for a second straight night Sunday, resulting in at least eight arrests and an untold amount of damage to vandalized downtown businesses.",,http://online.wsj.com/articles/violence-flares-again-at-berkeley-protests-1418020244?mod=Searchresults_pos6&page=11
Michael Brown,12/10/14,WSJ,Bay Area Protests Are Latest in Long Tradition,Alejandro Lazo and Zusha Elinson,Demonstrations in cities of Oakland and Berkeley reflect the region’s history of social activism and militant street action.,,http://online.wsj.com/articles/bay-area-protests-over-police-killings-are-latest-in-long-tradition-1418163477?mod=Searchresults_pos10&page=10
